java/awt/Graphics2D	setComposite	(Ljava/awt/Composite;)V	java.awt.AWTPermission	readDisplayPixels	
java/awt/Robot	<init>	()V	java.awt.AWTPermission	createRobot	
java/awt/Robot	<init>	(Ljava/awt/GraphicsDevice;)V	java.awt.AWTPermission	createRobot	
java/awt/Toolkit	addAWTEventListener	(Ljava/awt/event/AWTEventListener;J)V	java.awt.AWTPermission	listenToAllAWTEvents	
java/awt/Toolkit	getPrintJob	(Ljava/awt/Frame;Ljava/lang/String;Ljava/util/Properties;)Ljava/awt/PrintJob;	java.lang.RuntimePermission	queuePrintJob	
java/awt/Toolkit	getSystemClipboard	()Ljava/awt/datatransfer/Clipboard;	java.awt.AWTPermission	accessClipboard	
java/awt/Toolkit	getSystemEventQueue	()Ljava/awt/EventQueue;	java.awt.AWTPermission	accessEventQueue	
java/awt/Toolkit	removeAWTEventListener	(Ljava/awt/event/AWTEventListener;)V	java.awt.AWTPermission	listenToAllAWTEvents	
java/awt/Window	<init>	(Ljava/awt/Frame;)V	java.awt.AWTPermission	showWindowWithoutWarningBanner
java/beans/Beans	setDesignTime	(Z)V	java.util.PropertyPermission	*	read,write
java/beans/Beans	setGuiAvailable	(Z)V	java.util.PropertyPermission	*	read,write
java/beans/Introspector	setBeanInfoSearchPath	([Ljava/lang/String;)V	java.util.PropertyPermission	*	read,write
java/beans/PropertyEditorManager	registerEditor	(Ljava/lang/Class;Ljava/lang/Class;)V	java.util.PropertyPermission	*	read,write
java/beans/PropertyEditorManager	setEditorSearchPath	([Ljava/lang/String;)V	java.util.PropertyPermission	*	read,write
java/io/File	canRead	()Z	java.io.FilePermission	{name}	read
java/io/File	canWrite	()Z	java.io.FilePermission	{name}	write
java/io/File	createNewFile	()Z	java.io.FilePermission	{name}	write
java/io/File	createTempFile	(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;	java.io.FilePermission	{name}	write
java/io/File	createTempFile	(Ljava/lang/String;Ljava/lang/String;Ljava/io/File;)Ljava/io/File;	java.io.FilePermission	{name}	write
java/io/File	delete	()Z	java.io.FilePermission	{name}	delete
java/io/File	deleteOnExit	()V	java.io.FilePermission	{name}	delete
java/io/File	exists	()Z	java.io.FilePermission	{name}	read
java/io/File	isDirectory	()Z	java.io.FilePermission	{name}	read
java/io/File	isFile	()Z	java.io.FilePermission	{name}	read
java/io/File	isHidden	()Z	java.io.FilePermission	{name}	read
java/io/File	lastModified	()J	java.io.FilePermission	{name}	read
java/io/File	length	()J	java.io.FilePermission	{name}	read
java/io/File	list	()[Ljava/lang/String;	java.io.FilePermission	{name}	read
java/io/File	list	(Ljava/io/FilenameFilter;)[Ljava/lang/String;	java.io.FilePermission	{name}	read
java/io/File	listFiles	()[Ljava/io/File;	java.io.FilePermission	{name}	read
java/io/File	listFiles	(Ljava/io/FileFilter;)[Ljava/io/File;	java.io.FilePermission	{name}	read
java/io/File	listFiles	(Ljava/io/FilenameFilter;)[Ljava/io/File;	java.io.FilePermission	{name}	read
java/io/File	mkdir	()Z	java.io.FilePermission	{name}	write
